uid,event_name,event_time
1,pageview,2022-01-01 08:49:00
1,checkout,2022-01-01 08:59:00
2,pageview,2022-01-01 08:12:00
2,add_to_cart,2022-01-01 08:17:00
3,pageview,2022-01-01 08:07:00
3,add_to_cart,2022-01-01 08:12:00
3,checkout,2022-01-01 08:17:00
3,payment,2022-01-01 08:22:00
4,pageview,2022-01-01 08:16:00
4,add_to_cart,2022-01-01 08:21:00
4,checkout,2022-01-01 08:26:00
5,pageview,2022-01-01 08:03:00
5,add_to_cart,2022-01-01 08:08:00
6,pageview,2022-01-01 08:18:00
6,add_to_cart,2022-01-01 08:23:00
7,pageview,2022-01-01 08:29:00
7,add_to_cart,2022-01-01 08:34:00
7,checkout,2022-01-01 08:39:00
8,pageview,2022-01-01 08:18:00
8,payment,2022-01-01 08:33:00
9,pageview,2022-01-01 08:18:00
9,add_to_cart,2022-01-01 08:23:00
9,checkout,2022-01-01 08:28:00
10,pageview,2022-01-01 08:57:00
10,add_to_cart,2022-01-01 09:02:00
10,checkout,2022-01-01 09:07:00
10,payment,2022-01-01 09:12:00
11,pageview,2022-01-01 08:24:00
11,add_to_cart,2022-01-01 08:29:00
12,pageview,2022-01-01 08:41:00
13,pageview,2022-01-01 08:15:00
14,pageview,2022-01-01 08:03:00
14,payment,2022-01-01 08:18:00
15,pageview,2022-01-01 08:05:00
15,add_to_cart,2022-01-01 08:10:00
15,checkout,2022-01-01 08:15:00
16,pageview,2022-01-01 08:11:00
16,add_to_cart,2022-01-01 08:16:00
17,pageview,2022-01-01 08:52:00
17,checkout,2022-01-01 09:02:00
18,pageview,2022-01-01 08:35:00
18,add_to_cart,2022-01-01 08:40:00
18,payment,2022-01-01 08:50:00
19,pageview,2022-01-01 08:59:00
19,add_to_cart,2022-01-01 09:04:00
19,payment,2022-01-01 09:14:00
20,pageview,2022-01-01 08:22:00
20,add_to_cart,2022-01-01 08:27:00
20,checkout,2022-01-01 08:32:00
21,pageview,2022-01-01 08:16:00
21,add_to_cart,2022-01-01 08:21:00
21,payment,2022-01-01 08:31:00
22,pageview,2022-01-01 08:06:00
22,payment,2022-01-01 08:21:00
23,pageview,2022-01-01 08:17:00
23,checkout,2022-01-01 08:27:00
24,pageview,2022-01-01 08:04:00
25,pageview,2022-01-01 08:16:00
26,pageview,2022-01-01 08:35:00
26,add_to_cart,2022-01-01 08:40:00
27,pageview,2022-01-01 08:01:00
28,pageview,2022-01-01 08:15:00
28,add_to_cart,2022-01-01 08:20:00
28,checkout,2022-01-01 08:25:00
29,pageview,2022-01-01 08:45:00
29,add_to_cart,2022-01-01 08:50:00
30,pageview,2022-01-01 08:43:00
31,pageview,2022-01-01 08:55:00
31,add_to_cart,2022-01-01 09:00:00
31,payment,2022-01-01 09:10:00
32,pageview,2022-01-01 08:43:00
32,add_to_cart,2022-01-01 08:48:00
32,checkout,2022-01-01 08:53:00
33,pageview,2022-01-01 08:02:00
33,add_to_cart,2022-01-01 08:07:00
34,pageview,2022-01-01 08:12:00
34,add_to_cart,2022-01-01 08:17:00
35,pageview,2022-01-01 08:08:00
35,add_to_cart,2022-01-01 08:13:00
36,pageview,2022-01-01 08:02:00
36,checkout,2022-01-01 08:12:00
36,payment,2022-01-01 08:17:00
37,pageview,2022-01-01 08:24:00
37,add_to_cart,2022-01-01 08:29:00
38,pageview,2022-01-01 08:19:00
38,checkout,2022-01-01 08:29:00
39,pageview,2022-01-01 08:22:00
39,add_to_cart,2022-01-01 08:27:00
40,pageview,2022-01-01 08:03:00
40,add_to_cart,2022-01-01 08:08:00
40,checkout,2022-01-01 08:13:00
41,pageview,2022-01-01 08:01:00
41,add_to_cart,2022-01-01 08:06:00
41,payment,2022-01-01 08:16:00
42,pageview,2022-01-01 08:19:00
42,add_to_cart,2022-01-01 08:24:00
43,pageview,2022-01-01 08:17:00
43,add_to_cart,2022-01-01 08:22:00
43,checkout,2022-01-01 08:27:00
43,payment,2022-01-01 08:32:00
44,pageview,2022-01-01 08:57:00
44,add_to_cart,2022-01-01 09:02:00
45,pageview,2022-01-01 08:49:00
45,add_to_cart,2022-01-01 08:54:00
45,payment,2022-01-01 09:04:00
46,pageview,2022-01-01 08:56:00
46,checkout,2022-01-01 09:06:00
47,pageview,2022-01-01 08:17:00
47,add_to_cart,2022-01-01 08:22:00
48,pageview,2022-01-01 08:21:00
48,add_to_cart,2022-01-01 08:26:00
48,checkout,2022-01-01 08:31:00
49,pageview,2022-01-01 08:13:00
49,add_to_cart,2022-01-01 08:18:00
49,checkout,2022-01-01 08:23:00
50,pageview,2022-01-01 08:21:00
50,add_to_cart,2022-01-01 08:26:00
51,pageview,2022-01-01 08:13:00
51,add_to_cart,2022-01-01 08:18:00
52,pageview,2022-01-01 08:54:00
52,checkout,2022-01-01 09:04:00
53,pageview,2022-01-01 08:28:00
53,add_to_cart,2022-01-01 08:33:00
54,pageview,2022-01-01 08:00:00
54,add_to_cart,2022-01-01 08:05:00
54,checkout,2022-01-01 08:10:00
54,payment,2022-01-01 08:15:00
55,pageview,2022-01-01 08:57:00
55,add_to_cart,2022-01-01 09:02:00
55,checkout,2022-01-01 09:07:00
55,payment,2022-01-01 09:12:00
56,pageview,2022-01-01 08:32:00
56,add_to_cart,2022-01-01 08:37:00
56,checkout,2022-01-01 08:42:00
57,pageview,2022-01-01 08:28:00
57,add_to_cart,2022-01-01 08:33:00
57,checkout,2022-01-01 08:38:00
58,pageview,2022-01-01 08:54:00
58,add_to_cart,2022-01-01 08:59:00
59,pageview,2022-01-01 08:43:00
60,pageview,2022-01-01 08:38:00
60,add_to_cart,2022-01-01 08:43:00
61,pageview,2022-01-01 08:06:00
61,add_to_cart,2022-01-01 08:11:00
62,pageview,2022-01-01 08:24:00
62,add_to_cart,2022-01-01 08:29:00
62,checkout,2022-01-01 08:34:00
62,payment,2022-01-01 08:39:00
63,pageview,2022-01-01 08:39:00
63,payment,2022-01-01 08:54:00
64,pageview,2022-01-01 08:54:00
64,add_to_cart,2022-01-01 08:59:00
65,pageview,2022-01-01 08:48:00
66,pageview,2022-01-01 08:13:00
66,checkout,2022-01-01 08:23:00
67,pageview,2022-01-01 08:18:00
68,pageview,2022-01-01 08:55:00
68,add_to_cart,2022-01-01 09:00:00
68,checkout,2022-01-01 09:05:00
69,pageview,2022-01-01 08:16:00
69,checkout,2022-01-01 08:26:00
69,payment,2022-01-01 08:31:00
70,pageview,2022-01-01 08:56:00
71,pageview,2022-01-01 08:46:00
71,add_to_cart,2022-01-01 08:51:00
71,checkout,2022-01-01 08:56:00
72,pageview,2022-01-01 08:30:00
72,add_to_cart,2022-01-01 08:35:00
73,pageview,2022-01-01 08:06:00
73,add_to_cart,2022-01-01 08:11:00
74,pageview,2022-01-01 08:59:00
74,add_to_cart,2022-01-01 09:04:00
74,checkout,2022-01-01 09:09:00
75,pageview,2022-01-01 08:10:00
75,add_to_cart,2022-01-01 08:15:00
75,checkout,2022-01-01 08:20:00
75,payment,2022-01-01 08:25:00
76,pageview,2022-01-01 08:07:00
76,add_to_cart,2022-01-01 08:12:00
77,pageview,2022-01-01 08:09:00
77,add_to_cart,2022-01-01 08:14:00
78,pageview,2022-01-01 08:29:00
78,add_to_cart,2022-01-01 08:34:00
78,payment,2022-01-01 08:44:00
79,pageview,2022-01-01 08:52:00
79,checkout,2022-01-01 09:02:00
80,pageview,2022-01-01 08:38:00
81,pageview,2022-01-01 08:49:00
81,checkout,2022-01-01 08:59:00
82,pageview,2022-01-01 08:03:00
82,checkout,2022-01-01 08:13:00
83,pageview,2022-01-01 08:00:00
83,add_to_cart,2022-01-01 08:05:00
83,checkout,2022-01-01 08:10:00
83,payment,2022-01-01 08:15:00
84,pageview,2022-01-01 08:52:00
84,add_to_cart,2022-01-01 08:57:00
84,payment,2022-01-01 09:07:00
85,pageview,2022-01-01 08:46:00
85,add_to_cart,2022-01-01 08:51:00
86,pageview,2022-01-01 08:37:00
86,add_to_cart,2022-01-01 08:42:00
86,checkout,2022-01-01 08:47:00
87,pageview,2022-01-01 08:10:00
87,add_to_cart,2022-01-01 08:15:00
87,checkout,2022-01-01 08:20:00
88,pageview,2022-01-01 08:51:00
88,add_to_cart,2022-01-01 08:56:00
89,pageview,2022-01-01 08:33:00
89,add_to_cart,2022-01-01 08:38:00
90,pageview,2022-01-01 08:56:00
90,checkout,2022-01-01 09:06:00
90,payment,2022-01-01 09:11:00
91,pageview,2022-01-01 08:21:00
91,add_to_cart,2022-01-01 08:26:00
92,pageview,2022-01-01 08:00:00
93,pageview,2022-01-01 08:49:00
93,add_to_cart,2022-01-01 08:54:00
93,payment,2022-01-01 09:04:00
94,pageview,2022-01-01 08:08:00
94,add_to_cart,2022-01-01 08:13:00
95,pageview,2022-01-01 08:08:00
95,add_to_cart,2022-01-01 08:13:00
96,pageview,2022-01-01 08:39:00
96,payment,2022-01-01 08:54:00
97,pageview,2022-01-01 08:55:00
97,payment,2022-01-01 09:10:00
98,pageview,2022-01-01 08:04:00
98,payment,2022-01-01 08:19:00
99,pageview,2022-01-01 08:26:00
99,add_to_cart,2022-01-01 08:31:00
100,pageview,2022-01-01 08:19:00
100,add_to_cart,2022-01-01 08:24:00
100,checkout,2022-01-01 08:29:00
101,pageview,2022-01-01 08:42:00
101,add_to_cart,2022-01-01 08:47:00
102,pageview,2022-01-01 08:10:00
103,pageview,2022-01-01 08:52:00
103,add_to_cart,2022-01-01 08:57:00
104,pageview,2022-01-01 08:27:00
104,add_to_cart,2022-01-01 08:32:00
104,payment,2022-01-01 08:42:00
105,pageview,2022-01-01 08:34:00
105,add_to_cart,2022-01-01 08:39:00
105,payment,2022-01-01 08:49:00
106,pageview,2022-01-01 08:47:00
106,add_to_cart,2022-01-01 08:52:00
106,payment,2022-01-01 09:02:00
107,pageview,2022-01-01 08:05:00
107,checkout,2022-01-01 08:15:00
108,pageview,2022-01-01 08:48:00
108,add_to_cart,2022-01-01 08:53:00
108,payment,2022-01-01 09:03:00
109,pageview,2022-01-01 08:51:00
109,checkout,2022-01-01 09:01:00
110,pageview,2022-01-01 08:26:00
110,add_to_cart,2022-01-01 08:31:00
111,pageview,2022-01-01 08:57:00
111,add_to_cart,2022-01-01 09:02:00
112,pageview,2022-01-01 08:04:00
112,add_to_cart,2022-01-01 08:09:00
113,pageview,2022-01-01 08:59:00
113,add_to_cart,2022-01-01 09:04:00
114,pageview,2022-01-01 08:11:00
114,add_to_cart,2022-01-01 08:16:00
115,pageview,2022-01-01 08:55:00
115,add_to_cart,2022-01-01 09:00:00
115,checkout,2022-01-01 09:05:00
116,pageview,2022-01-01 08:06:00
116,add_to_cart,2022-01-01 08:11:00
117,pageview,2022-01-01 08:08:00
117,add_to_cart,2022-01-01 08:13:00
118,pageview,2022-01-01 08:16:00
119,pageview,2022-01-01 08:52:00
119,checkout,2022-01-01 09:02:00
120,pageview,2022-01-01 08:22:00
120,add_to_cart,2022-01-01 08:27:00
120,checkout,2022-01-01 08:32:00
120,payment,2022-01-01 08:37:00
121,pageview,2022-01-01 08:25:00
122,pageview,2022-01-01 08:02:00
122,add_to_cart,2022-01-01 08:07:00
122,checkout,2022-01-01 08:12:00
122,payment,2022-01-01 08:17:00
123,pageview,2022-01-01 08:38:00
123,add_to_cart,2022-01-01 08:43:00
123,checkout,2022-01-01 08:48:00
124,pageview,2022-01-01 08:39:00
124,add_to_cart,2022-01-01 08:44:00
125,pageview,2022-01-01 08:35:00
125,add_to_cart,2022-01-01 08:40:00
126,pageview,2022-01-01 08:00:00
126,add_to_cart,2022-01-01 08:05:00
126,checkout,2022-01-01 08:10:00
126,payment,2022-01-01 08:15:00
127,pageview,2022-01-01 08:11:00
127,add_to_cart,2022-01-01 08:16:00
127,payment,2022-01-01 08:26:00
128,pageview,2022-01-01 08:18:00
128,add_to_cart,2022-01-01 08:23:00
128,payment,2022-01-01 08:33:00
129,pageview,2022-01-01 08:55:00
130,pageview,2022-01-01 08:01:00
130,add_to_cart,2022-01-01 08:06:00
131,pageview,2022-01-01 08:51:00
131,add_to_cart,2022-01-01 08:56:00
132,pageview,2022-01-01 08:25:00
132,checkout,2022-01-01 08:35:00
132,payment,2022-01-01 08:40:00
133,pageview,2022-01-01 08:11:00
